addr,lease_commence_date
ANG MO KIO AVE 4,1986
ANG MO KIO AVE 10,1981
ANG MO KIO AVE 5,1980
ANG MO KIO AVE 8,1980
ANG MO KIO AVE 1,1981
ANG MO KIO AVE 3,1985
ANG MO KIO AVE 6,1980
ANG MO KIO ST 21,1996
ANG MO KIO ST 52,2002
ANG MO KIO ST 31,2006
BEDOK RESERVOIR RD,1986
BEDOK STH RD,1978
BEDOK NTH ST 3,1978
BEDOK NTH AVE 1,1980
BEDOK NTH RD,1978
NEW UPP CHANGI RD,1982
CHAI CHEE ST,1985
BEDOK NTH ST 1,1979
BEDOK NTH AVE 4,1977
BEDOK NTH ST 2,1978
CHAI CHEE AVE,1974
BEDOK NTH AVE 3,1979
BEDOK STH AVE 1,1976
BEDOK NTH AVE 2,1979
BEDOK STH AVE 2,1977
BEDOK CTRL,2010
BEDOK RESERVOIR VIEW,2000
CHAI CHEE RD,1993
JLN TENAGA,1996
BEDOK STH AVE 3,1977
LENGKONG TIGA,1989
SHUNFU RD,1984
BISHAN ST 24,1992
BISHAN ST 12,1985
BISHAN ST 22,1992
BISHAN ST 13,1987
BISHAN ST 23,1992
BRIGHT HILL DR,1990
SIN MING AVE,1989
BT BATOK ST 52,1987
BT BATOK WEST AVE 4,1988
BT BATOK WEST AVE 2,1988
BT BATOK EAST AVE 4,1986
BT BATOK EAST AVE 3,1985
BT BATOK ST 21,1984
BT BATOK EAST AVE 5,1985
BT BATOK WEST AVE 8,1985
BT BATOK ST 11,1998
BT BATOK WEST AVE 6,1984
BT BATOK ST 51,1988
BT BATOK ST 32,1986
BT BATOK ST 33,1986
BT BATOK ST 31,1985
BT BATOK CTRL,1985
BT BATOK ST 24,1998
BT BATOK ST 25,1998
BT BATOK WEST AVE 5,2004
BT BATOK ST 34,1986
JLN KLINIK,1969
LOWER DELTA RD,1970
BT MERAH VIEW,1974
JLN BT HO SWEE,1971
JLN BT MERAH,1970
TELOK BLANGAH CRES,1983
TELOK BLANGAH HTS,1976
KIM TIAN RD,1976
BEO CRES,1971
CANTONMENT CL,2002
TELOK BLANGAH DR,1978
JLN MEMBINA,2009
LENGKOK BAHRU,1986
DEPOT RD,2000
LIM LIAK ST,1973
SENG POH RD,1973
HOY FATT RD,1987
KIM TIAN PL,2001
REDHILL CL,2001
BOON TIONG RD,2005
HAVELOCK RD,1983
REDHILL LANE,1996
REDHILL RD,2007
SAUJANA RD,1989
GANGSA RD,1988
PETIR RD,1988
BANGKIT RD,1988
BT PANJANG RING RD,1988
SEGAR RD,2002
PENDING RD,1988
FAJAR RD,1988
JELAPANG RD,1998
SENJA RD,2004
SENJA LINK,2001
