addr,lease_commence_date
ANG MO KIO AVE 4,1986
ANG MO KIO AVE 8,1980
ANG MO KIO AVE 10,1984
ANG MO KIO AVE 5,1980
ANG MO KIO AVE 3,1978
ANG MO KIO AVE 1,1981
ANG MO KIO AVE 9,1980
ANG MO KIO AVE 6,1980
ANG MO KIO ST 32,2001
ANG MO KIO ST 52,2003
ANG MO KIO ST 21,1996
ANG MO KIO ST 31,2006
BEDOK RESERVOIR RD,1986
BEDOK NTH ST 3,1978
BEDOK NTH RD,1978
CHAI CHEE RD,1972
BEDOK STH AVE 1,1976
BEDOK NTH ST 4,1978
BEDOK NTH ST 2,1978
BEDOK STH RD,1976
CHAI CHEE DR,1982
CHAI CHEE AVE,1983
BEDOK NTH AVE 1,1979
BEDOK STH AVE 3,1985
NEW UPP CHANGI RD,1985
BEDOK NTH AVE 4,1977
BEDOK NTH ST 1,1980
BEDOK NTH AVE 3,1979
BEDOK NTH AVE 2,1979
BEDOK STH AVE 2,1977
CHAI CHEE ST,1985
BEDOK RESERVOIR VIEW,2000
JLN TENAGA,1993
JLN DAMAI,1996
LENGKONG TIGA,1989
BEDOK CTRL,2010
SIN MING AVE,1986
BISHAN ST 11,1989
BISHAN ST 12,1986
BISHAN ST 13,1987
BISHAN ST 22,1992
BISHAN ST 24,1992
BISHAN ST 23,1992
SHUNFU RD,1985
BT BATOK ST 52,1987
BT BATOK WEST AVE 4,1987
BT BATOK WEST AVE 2,1988
BT BATOK ST 31,1988
BT BATOK ST 34,1987
BT BATOK EAST AVE 4,1986
BT BATOK ST 32,1985
BT BATOK WEST AVE 8,1985
BT BATOK EAST AVE 5,1985
BT BATOK ST 51,1988
BT BATOK WEST AVE 6,1984
BT BATOK ST 21,1984
BT BATOK EAST AVE 3,1985
BT BATOK ST 33,1986
BT BATOK ST 25,1998
BT BATOK CTRL,1985
BT BATOK ST 24,1997
BT BATOK WEST AVE 5,2004
BT BATOK ST 22,1997
TELOK BLANGAH DR,1978
JLN RUMAH TINGGI,1969
TAMAN HO SWEE,1970
TELOK BLANGAH CRES,1975
TELOK BLANGAH WAY,1976
TELOK BLANGAH RISE,1976
JLN BT MERAH,1970
BT PURMEI RD,1983
HENDERSON CRES,1975
TELOK BLANGAH HTS,1976
HAVELOCK RD,1969
EVERTON PK,1980
BT MERAH VIEW,1973
